iter	Passed	Remaining
850	977	171
851	978	169
852	978	168
853	979	167
854	980	166
855	980	165
856	983	164
857	983	162
858	984	161
859	985	160
860	985	159
861	986	157
862	987	156
863	988	155
864	989	154
865	990	153
866	991	152
867	991	150
868	992	149
869	993	148
870	994	147
871	994	146
872	996	144
873	997	143
874	997	142
875	998	141
876	999	140
877	999	138
878	1000	137
879	1001	136
880	1002	135
881	1002	134
882	1004	133
883	1004	131
884	1005	130
885	1006	129
886	1006	128
887	1007	127
888	1008	125
889	1009	124
890	1011	123
891	1012	122
892	1013	121
893	1014	120
894	1015	119
895	1016	117
896	1017	116
897	1017	115
898	1018	114
899	1019	113
900	1020	112
901	1021	110
902	1021	109
903	1022	108
904	1023	107
905	1025	106
906	1026	105
907	1026	104
908	1027	102
909	1028	101
910	1029	100
911	1030	99
912	1031	98
913	1032	97
914	1033	95
915	1034	94
916	1035	93
917	1036	92
918	1036	91
919	1037	90
920	1038	89
921	1039	87
922	1040	86
923	1041	85
924	1041	84
925	1042	83
926	1043	82
927	1043	80
928	1044	79
929	1045	78
930	1046	77
931	1047	76
932	1048	75
933	1049	74
934	1050	73
935	1051	71
936	1052	70
937	1053	69
938	1054	68
939	1055	67
940	1055	66
941	1056	65
942	1057	63
943	1057	62
944	1058	61
945	1059	60
946	1060	59
947	1061	58
948	1062	57
949	1063	55
950	1064	54
951	1065	53
952	1066	52
953	1067	51
954	1067	50
955	1068	49
956	1070	48
957	1071	46
958	1072	45
959	1072	44
960	1073	43
961	1074	42
962	1075	41
963	1076	40
964	1077	39
965	1078	37
966	1079	36
967	1080	35
968	1081	34
969	1081	33
970	1082	32
971	1083	31
972	1084	30
973	1085	28
974	1086	27
975	1087	26
976	1088	25
977	1089	24
978	1090	23
979	1091	22
980	1092	21
981	1093	20
982	1094	18
983	1095	17
984	1095	16
985	1096	15
986	1097	14
987	1098	13
988	1099	12
989	1100	11
990	1101	10
991	1102	8
992	1103	7
993	1104	6
994	1105	5
995	1105	4
996	1106	3
997	1107	2
998	1108	1
999	1109	0
